block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462966,1771167671,1218071059634828158129169715,1218071094447261593241950805,0.000000001190832053336402957446,37554175843890888473790093,0.691024831791247295953439788718
24462974,1771167767,1218071094447261593241950805,1218071233697364137973935778,0.000000001190835171212730308564,37553758301597648450268323,0.691017154161108093646248562436
24462975,1771167779,1218071233697364137973935778,1218071251103434545596217953,0.000000001190821867040152021635,37553663104938076672209932,0.691015403153989016260538846836
24462977,1771167803,1218071251103434545596217953,1218071285915487860214841528,0.000000001190818860186126926237,37553663436592281341671270,0.691015410621465209217717529100
24462986,1771167911,1218071285915487860214841528,1218071442569741471577492568,0.000000001190818933173010875930,37553664186327357141157884,0.691015430558159726714961834659
24462987,1771167923,1218071442569741471577492568,1218071459975771241763755170,0.000000001190818887941702541866,37553663388018240518200837,0.691015416550353145375140684337
24462990,1771167959,1218071459975771241763755170,1218071512193860934654532160,0.000000001190818881773796803550,37553648145068438613792247,0.691015138104152382148015476560
24462994,1771168007,1218071512193860934654532160,1218071581817955747103635270,0.000000001190818406845058468700,37553491221275039862856422,0.691012253318868618912063084281
24462998,1771168055,1218071581817955747103635270,1218071651441763604019493304,0.000000001190813429345164870445,37553459735220347425631893,0.691011676657530271583596004348
24462999,1771168067,1218071651441763604019493304,1218071668847701596355192751,0.000000001190812411640725492855,37553602273540522475421012,0.691014300151352234280466291239
24463000,1771168079,1218071668847701596355192751,1218071686253705903586328884,0.000000001190816926547692439688,37553281364118007378522412,0.691008395621373616712901366554
24463002,1771168103,1218071686253705903586328884,1218071721065417782732518153,0.000000001190806758755158512031,37553281695772941765510628,0.691008403088821610005254569842
24463006,1771168151,1218071721065417782732518153,1218071790688845140599604404,0.000000001190806786510734127660,37553259524570540211896315,0.691007997851653121834658577427
24463008,1771168175,1218071790688845140599604404,1218071825500539759277584139,0.000000001190806064865768121308,37553274323244726187088480,0.691008271533845364054116089392
24463009,1771168187,1218071825500539759277584139,1218071842906394300853179600,0.000000001190806527458694979525,37553271786161527523984005,0.691008225529978536982866899052
24463020,1771168319,1218071842906394300853179600,1218072034370797738718271055,0.000000001190806530823007275623,37524361842720040381988399,0.690476246930684323110938294121
